date,age,gender,ads,unique_campaigns,impressions,clicks,spent,total_conversion,approved_conversion,revenue,ctr,conversion_rate,cpc,cpa,roas,segment_level,trend_keyword,search_interest
2017-08-19,45-49,F,13,1,5633973,1186,1690.3499917,66,19,380.0,0.00021050864106022518,0.016020236087689713,1.4252529440978077,88.9657890368421,0.22480551475486485,age_gender,fitness,90
2017-08-19,45-49,F,13,1,5633973,1186,1690.3499917,66,19,380.0,0.00021050864106022518,0.016020236087689713,1.4252529440978077,88.9657890368421,0.22480551475486485,age_gender,grocery,96
2017-08-19,45-49,F,13,1,5633973,1186,1690.3499917,66,19,380.0,0.00021050864106022518,0.016020236087689713,1.4252529440978077,88.9657890368421,0.22480551475486485,age_gender,skin care,84
2017-08-19,45-49,M,14,1,1188218,243,385.359999186,18,5,100.0,0.00020450792699656123,0.0205761316872428,1.5858436180493827,77.0719998372,0.25949761317010345,age_gender,fashion,100
2017-08-19,45-49,M,14,1,1188218,243,385.359999186,18,5,100.0,0.00020450792699656123,0.0205761316872428,1.5858436180493827,77.0719998372,0.25949761317010345,age_gender,fitness,90
2017-08-19,45-49,M,14,1,1188218,243,385.359999186,18,5,100.0,0.00020450792699656123,0.0205761316872428,1.5858436180493827,77.0719998372,0.25949761317010345,age_gender,grocery,96
2017-08-19,45-49,M,14,1,1188218,243,385.359999186,18,5,100.0,0.00020450792699656123,0.0205761316872428,1.5858436180493827,77.0719998372,0.25949761317010345,age_gender,skin care,84
2017-08-20,30-34,F,21,1,2033322,326,503.68999961,47,15,300.0,0.00016032876248818435,0.046012269938650305,1.5450613484969324,33.57933330733333,0.5956044396995885,age_gender,fashion,93
2017-08-20,30-34,F,21,1,2033322,326,503.68999961,47,15,300.0,0.00016032876248818435,0.046012269938650305,1.5450613484969324,33.57933330733333,0.5956044396995885,age_gender,fitness,86
2017-08-20,30-34,F,21,1,2033322,326,503.68999961,47,15,300.0,0.00016032876248818435,0.046012269938650305,1.5450613484969324,33.57933330733333,0.5956044396995885,age_gender,grocery,100
2017-08-20,30-34,F,21,1,2033322,326,503.68999961,47,15,300.0,0.00016032876248818435,0.046012269938650305,1.5450613484969324,33.57933330733333,0.5956044396995885,age_gender,skin care,79
2017-08-20,30-34,M,11,2,1816696,223,394.199998068,41,8,160.0,0.00012275031155460243,0.03587443946188341,1.767712995820628,49.2749997585,0.4058853393814573,age_gender,fashion,93
2017-08-20,30-34,M,11,2,1816696,223,394.199998068,41,8,160.0,0.00012275031155460243,0.03587443946188341,1.767712995820628,49.2749997585,0.4058853393814573,age_gender,fitness,86
2017-08-20,30-34,M,11,2,1816696,223,394.199998068,41,8,160.0,0.00012275031155460243,0.03587443946188341,1.767712995820628,49.2749997585,0.4058853393814573,age_gender,grocery,100
2017-08-20,30-34,M,11,2,1816696,223,394.199998068,41,8,160.0,0.00012275031155460243,0.03587443946188341,1.767712995820628,49.2749997585,0.4058853393814573,age_gender,skin care,79
2017-08-20,35-39,F,13,1,1165352,270,401.650000761,23,9,180.0,0.00023168965256849432,0.03333333333333333,1.487592595411111,44.62777786233333,0.4481513747266446,age_gender,fashion,93
2017-08-20,35-39,F,13,1,1165352,270,401.650000761,23,9,180.0,0.00023168965256849432,0.03333333333333333,1.487592595411111,44.62777786233333,0.4481513747266446,age_gender,fitness,86
2017-08-20,35-39,F,13,1,1165352,270,401.650000761,23,9,180.0,0.00023168965256849432,0.03333333333333333,1.487592595411111,44.62777786233333,0.4481513747266446,age_gender,grocery,100
2017-08-20,35-39,F,13,1,1165352,270,401.650000761,23,9,180.0,0.00023168965256849432,0.03333333333333333,1.487592595411111,44.62777786233333,0.4481513747266446,age_gender,skin care,79
2017-08-20,35-39,M,3,2,846829,127,235.0899994,11,6,120.0,0.00014997124567061354,0.047244094488188976,1.8511023574803152,39.18166656666667,0.5104428104396855,age_gender,fashion,93
2017-08-20,35-39,M,3,2,846829,127,235.0899994,11,6,120.0,0.00014997124567061354,0.047244094488188976,1.8511023574803152,39.18166656666667,0.5104428104396855,age_gender,fitness,86
